product_id;ean;qty;date;price;tax;category;name;short_description;description
17;00494BR;1;2011-12-27 15:36:06;188.000000;;BibaToys;Игрушка на коляску музык Весёлый львёнок;Забавная познавательная игрушка крепится на коляску липучками, станет первым другом малыша.;<p>Забавная познавательная игрушка крепится на коляску липучками, станет первым другом малыша.<br />Материал - полиэстер.</p>
18;00495BR;34;2011-12-27 15:36:06;188.000000;;BibaToys;"Игрушка на коляску Шатающийся слоненок (от 6 мес.)""";Забавная познавательная игрушка крепится на коляску липучками,  станет первым другом малыша.;<p>Забавная познавательная игрушка крепится на коляску липучками,  станет первым другом малыша.<br />Материал - полиэстер.</p>
19;00496BR;65;2011-12-27 15:36:06;188.000000;;BibaToys;"Игрушка на коляску Обезьяна (от 6 мес.)""";Забавная познавательная игрушка крепится на коляску липучками,  станет первым другом малыша.;<p>Забавная познавательная игрушка крепится на коляску липучками,  станет первым другом малыша.<br />Материал - полиэстер.</p>
20;00496BRF;11;2011-12-27 15:36:06;0.000000;;BibaToys;"Игрушка на коляску Крутящаяся корова(от 6 мес.)""";Забавная познавательная игрушка крепится на коляску липучками,  станет первым другом малыша.;<p>Забавная познавательная игрушка крепится на коляску липучками,  станет первым другом малыша.<br />Материал - полиэстер.</p>
21;00499BR;32;2011-12-27 15:36:06;229.000000;;BibaToys;"Игрушка на коляску Крутящийся львенок (от 6 мес.)""";Забавная познавательная игрушка крепится на коляску липучками,  станет первым другом малыша.;<p>Забавная познавательная игрушка крепится на коляску липучками,  станет первым другом малыша.<br />Материал - полиэстер.</p>
22;00539SV;125;2011-12-27 15:36:06;0.000000;;BibaToys;"Активный коврик с дугами Саванна(0м)""";Яркие цвета и дружелюбные обитатели джунглей дают множество возможностей для обучения и новых открытий.;<p>Яркие цвета и дружелюбные обитатели джунглей дают множество возможностей для обучения и новых открытий.<br />Материал – полиэстер, хлопок.</p>
23;00544BS;1;2011-12-27 15:36:06;647.000000;;BibaToys;"Боулинг Ферма (от 6 мес.)""";Мягкие, гнущиеся матерчатые яркие кегли с забавными головами домашних животных абсолютно безопасны для игры в боулинг даже для самых маленьких.;<p>Мягкие, гнущиеся матерчатые яркие кегли с забавными головами домашних животных абсолютно безопасны для игры в боулинг даже для самых маленьких.В комплекте 6 кеглей и мяч<br />Материал– полиэстер.</p>
24;00582BB;1;2011-12-27 15:36:06;445.000000;;BibaToys;"Мягкая музыкальная книжка Лица(от 0мес)""";Эта обучающая  игровая книга поможет малушу открыть мир. Книга со звуковыми эффектами, развивает моторику, стимулирует тактильное восприятие.;<p>Эта обучающая  игровая книга поможет малушу открыть мир. Книга со звуковыми эффектами, развивает моторику, стимулирует тактильное восприятие.<br />Материал – полиэстер.</p>
25;00584BB;89;2011-12-27 15:36:06;350.000000;;BibaToys;"Мягкая книжка-подвеска Овечка""";Яркие цвета и дружелюбные герои этой книги - дают множество возможностей для обучения и новых открытий. Легко крепится на прогулочную коляску, кроватку.;<p>Яркие цвета и дружелюбные герои этой книги - дают множество возможностей для обучения и новых открытий. Легко крепится на прогулочную коляску, кроватку. <br />Материал – полиэстер, хлопок.</p>
26;00605BP;2;2011-12-27 15:36:06;0.000000;;BibaToys;"Развив.игруш.-подвеска Весёлая ферма(от 6м)""";Способствует развитию фокусировки взгляда новорождённых. Игрушка легко крепится на любую вертикальную поверхность.;<p>Способствует развитию фокусировки взгляда новорождённых. Игрушка легко крепится на любую вертикальную поверхность. Музыка, зеркало, шуршалки - всё что нужно для развития вашего малыша. <br />Материал – полиэстер, хлопок.</p>
27;00614QB;277;2011-12-27 15:36:06;94.000000;;BibaToys;"Активная игрушка Медвежонок (голуб)""";Дружные зверушки займут малыша во время прогулки в коляске. Помогают в развитии мелкой моторики.;<p>Дружные зверушки займут малыша во время прогулки в коляске. Помогают в развитии мелкой моторики. <br />Материал – полиэстер.</p>
28;00616BR;1;2011-12-27 15:36:06;80.000000;;BibaToys;"Игрушка прорезыватель""Лошадка"", ""Коровка"", ""Собачка"", ""Овечка"" (от 0 мес.)";Краткое описание;<p>Игрушка с прорезывателями, станет первым другом малыша, благодаря своей  нежной текстуре и яркости.</p>  <p>Материал – полиэстер, пластик.</p>
29;00618BR;1;2011-12-27 15:36:06;94.000000;;BibaToys;"Мягкая игрушка с кольцом ""Овечка"",""Лошадка"",""Коровка""(от 3 мес.)";Забавная зверушка-игрушка развеселит малыша.;<p>Забавная зверушка-игрушка развеселит малыша.<br />Использовать под наблюдением взрослых.<br />Материал - полиэстер.</p>
30;00618JF;77;2011-12-27 15:36:06;0.000000;;BibaToys;"Мягкая игрушка с кольцом ""Бегемотик"",""Львёнок"",""Крокодильчик""(от 3 мес.)";Забавная погремушка в виде зверушки развеселит малыша. Удобна для детских ручек.;Забавная погремушка в виде зверушки развеселит малыша. Удобна для детских ручек. Материал – полиэстер, пластик
31;00658BM;9;2011-12-27 15:36:06;0.000000;;BibaToys;Игрушка музык.вибрир. Счастливый слонёнок;Мягкий развивающий слонёнок со звуковым, световым и вибрирующим эффектом не оставит малыша равнодушным.;Мягкий развивающий слонёнок со звуковым, световым и вибрирующим эффектом не оставит малыша равнодушным.<br />Материал – полиэстер. <br />
32;00659BM;241;2011-12-27 15:36:06;809.000000;;BibaToys;Игрушка музык.вибрир. Счастливая обезьяна;Мягкая развивающая обезьянка со звуковым, световым и вибрирующим эффектом увлечёт малыша.;Мягкая развивающая обезьянка со звуковым, световым и вибрирующим эффектом увлечёт малыша.<br />Материал – полиэстер. <br />
33;00664JF;126;2011-12-27 15:36:06;809.000000;;BibaToys;"Активный бампер на кроватку Крокодил(0м)""";Развивающая игрушка в виде крокодила, крепится на кроватку как бампер. Яркие цвета, интересные формы и элементы  дают множество возможностей для обучения и новых открытий.;<p>Развивающая игрушка в виде крокодила, крепится на кроватку как бампер. Яркие цвета, интересные формы и элементы  дают множество возможностей для обучения и новых открытий. Материал – полиэстер, хлопок.</p>
34;00671QB;296;2011-12-27 15:36:06;1214.000000;;BibaToys;Коврик-сумка дорожный(от0м);Коврик переносной, удобно складывается в виде сумки, с развивающими элементами и игрушками.;Коврик переносной, удобно складывается в виде сумки, с развивающими элементами и игрушками.<br />Яркие цвета,и дружелюбные животные  - дают множество возможностей для обучения и новых открытий.<br />Материал – полиэстер, хлопок.
35;00701QB;9;2011-12-27 15:36:06;0.000000;;BibaToys;"Игрушка-подушка""Мишка,Кошка""(голуб,розов.)";Забавные, мягкие игрушки-подушки, приятные на ощупь,выполенные в виде зверушек, порадуют малыша!;<p>Забавные, мягкие игрушки-подушки, приятные на ощупь,выполенные в виде зверушек, порадуют малыша! <br />Материал - полиэстер. </p>
36;00702JF;84;2011-12-27 15:36:06;323.000000;;BibaToys;"Активная игрушка ""Бегемот"",""Лев"",""Крокодил""(25см)(от 6 мес.)";Веселая зверушка. Много развивающих элементов: зеркало, погремушка, прорезыватель, шуршалки, для развития моторики и ощущений.;<p>Веселая зверушка. Много развивающих элементов: зеркало, погремушка, прорезыватель, шуршалки, для развития моторики и ощущений. Использовать под наблюдением взрослых.<br />Материал – полиэстер.</p>
