product_id;ean;qty;date;price;tax;category;name;short_description;description
67;00152;1;2011-12-27 15:36:06;202.000000;;B KIDS;"Развивающая игрушка Мартышка (от 6 мес.)""";Приятная на ощупь веселая мартышка не даст заскучать ребенку. Яркие и разнообразные цвета способствуют сенсорному развитию малыша.;<p>Приятная на ощупь веселая мартышка не даст заскучать ребенку. Яркие и разнообразные цвета способствуют сенсорному развитию малыша. <br />Материал - пластик.</p>
68;00153;1;2011-12-27 15:36:06;215.000000;;B KIDS;"Развивающая игрушка Жираф (от 6 мес.)""";Перебирая колечки жирафика, малыш развивает мелкую моторику.;"<p>Перебирая колечки жирафика, малыш развивает мелкую моторику. Рифленая поверхность благоприятна для тактильного восприятия, а разноцветные горошинки, при встряхивании гремят и привлекают внимание малыша. <span style=""line-height: 1.3em;"">Материал - пластик.</span></p>"
69;00154;2;2011-12-27 15:36:06;215.000000;;B KIDS;"Развивающая игрушка Зебра (от 6 мес.)""";Добродушная зебра привлечет внимание малыша – она может  поворачивать голову, а при ее встряхивании раздается цокот копыт.;<p>Добродушная зебра привлечет внимание малыша – она может  поворачивать голову, а при ее встряхивании раздается цокот копыт. По форме удобна для держания детскими ручками. Малыш сможет трясти игрушку,  перекладывать из рук в руки,что содействует  развитию моторики. Материал - пластик. Мыть влажной губкой.</p>
70;00270;763;2011-12-27 15:36:06;0.000000;;B KIDS;"Игрушка для ванной Водная горка(от 12 мес.)""";Водная горка увлечет малыша на все время купания. Налейте воду, нажмите на рычаг и бегемотик с пингвином весело покатятся в ванную.;<p>Водная горка увлечет малыша на все время купания. Налейте воду, нажмите на рычаг и бегемотик с пингвином весело покатятся в ванную. В своих лодочках они будут плавать в ванной вместе с вашим малышом. Под струей воды закрутится и водяная мельница. Крепится на стену с помощью 3 присосок.</p>  <p>Материал - пластик.</p>
71;00287;1;2011-12-27 15:36:06;566.000000;;B KIDS;"Игрушка для ванной Лягушка (от 12 мес.)""";Водичка, попадая на голову, вытекает изо рта лягушки, стекает в лапки приводя в движение винт. При этом, у лягушки двигаются голова и лапки. В комплект входят формочки с отверстиями.  Материал - пластик.;"<p>Водичка, попадая на голову, вытекает изо рта лягушки, стекает в лапки приводя в движение винт. При этом, у лягушки двигаются голова и лапки. В комплект входят формочки с отверстиями. <span style=""line-height: 1.3em;"">Материал - пластик.</span></p>"
72;00309;1;2011-12-27 15:36:06;0.000000;;B KIDS;Набор Ферма (от 18 мес);Забавный домик-ферма, в котором живут различные зверушки, а так же добрый фермер, который может возить их на тележке. Головы зверушек крутятся вокруг своей оси. Материал - пластик.;<p>Забавный домик-ферма, в котором живут различные зверушки, а так же добрый фермер, который может возить их на тележке. Головы зверушек крутятся вокруг своей оси. Материал - пластик.</p>
73;00323;46;2011-12-27 15:36:06;0.000000;;B KIDS;"Игрушка на коляску Музыкальные жучки (от 0 мес.)""";Красочная музыкальная игрушка познакомит малыша с различными животными и развлечет его во время прогулки в коляске.;<p>Красочная музыкальная игрушка познакомит малыша с различными животными и развлечет его во время прогулки в коляске. Со звуковыми и световыми эффектами. Развивает моторику, стимулирует тактильное восприятие. Материал - пластик.</p>
74;00351;1;2011-12-27 15:36:06;0.000000;;B KIDS;"Развивающая игрушка сортирующая ""Рыба шар""";Краткое описание;<p>Полное описание</p>
75;00402;7;2011-12-27 15:36:06;364.000000;;B KIDS;Игрушка на присоске Веселая обезьяна (от 12 м.);Игрушка надежно крепится к гладкой поверхности. Туловище и голова мартышки крутятся вокруг своей оси, забавно при этом скрипя. В верхней части игрушки находится крутящийся желто-зеленый шарик-погремушка. Материал-пластик.;<p>Игрушка надежно крепится к гладкой поверхности. Туловище и голова мартышки крутятся вокруг своей оси, забавно при этом скрипя. В верхней части игрушки находится крутящийся желто-зеленый шарик-погремушка. Материал-пластик.</p>  <p> </p>
76;00455;248;2011-12-27 15:36:06;0.000000;;B KIDS;Развивающая активная игрушка шар (от6мес);Игрушка заполнена водой. При переворачивании игрушки, бусинки и вода исчезают как по волшебству, концентрируя внимание ребёнка. Сочетание разноцветного пластика с разным протектором. Пластиковые элементы перемещаются вслед за поворотом игрушки. Материал - пластик.;"<p>Игрушка заполнена водой. При переворачивании игрушки, бусинки и вода исчезают как по волшебству, концентрируя внимание ребёнка. Сочетание разноцветного пластика с разным протектором. Пластиковые элементы перемещаются вслед за поворотом игрушки. <span style=""line-height: 1.3em;"">Материал - пластик. </span></p>"
77;00456;106;2011-12-27 15:36:06;0.000000;;B KIDS;Светильник Волшебная лампа с термосенсором;Светильник удобно крепится на стенку кроватки. В темноте он мягко светится, меняя цвета.;<p>Светильник удобно крепится на стенку кроватки. В темноте он мягко светится, меняя цвета. Благодаря термосенсору можно контролировать уровень влажности и температуры в комнате. Имеется 6 приятных классических  мелодий и 3 успокаивающих звука природы, уровень громкости можно регулировать. Материал - пластик.</p>
78;00565;78;2011-12-27 15:36:06;877.000000;;B KIDS;Активный центр Сортирующий ролик (от 12 м);Центр состоит из многочисленных развивающих элементов для развития моторики и логики: бегающие бусинки, пересыпающиеся шарики, двигающиеся педали и шестеренки. С функцией сортера геометрических фигур. Материал - пластик.;"<p>Центр состоит из многочисленных развивающих элементов <span style=""line-height: 1.3em;"">для развития моторики и логики: бегающие бусинки, </span><span style=""line-height: 1.3em;"">пересыпающиеся шарики, двигающиеся педали </span><span style=""line-height: 1.3em;"">и шестеренки. С функцией сортера геометрических фигур. </span><span style=""line-height: 1.3em;"">Материал - пластик.</span></p>"
79;00596;4;2011-12-27 15:36:06;188.000000;;B KIDS;Развивающая игрушка Львёнок;Забавный львёнок успокоит и развлечет малыша. По форме игрушка очень удобна для детских ручек. Малыш сможет трясти игрушку, перекладывать из рук в руки, что благоприятно для развития моторики. Яркие цвета способствуют сенсорному развитию ребёнка.   Материал - пластик.;<p>Забавная игрушка успокоит и развлечет малыша. По форме она очень удобна для держания детскими ручками, малыш сможет трясти игрушку, перекладывать из рук в руки – что способствует развитию моторики.  Яркие и разнообразные цвета способствуют сенсорному развитию ребёнка. <br />Материал - пластик.</p>
80;00597;2;2011-12-27 15:36:06;188.000000;;B KIDS;"Развивающая игрушка-прорезыватель Слонёнок (от 1 мес.)""";Забавный слонёнок успокоит и развлечет малыша. По форме игрушка очень удобна для детских ручек. Малыш сможет трясти игрушку, перекладывать из рук в руки, что благоприятно для развития моторики. Яркие и цвета способствуют сенсорному развитию ребёнка.  Материал - пластик.;"<p>Забавный слонёнок успокоит и развлечет малыша. По форме игрушка очень удобна для детских ручек. Малыш сможет трясти игрушку, перекладывать из рук в руки, что благоприятно для развития моторики. Яркие и цвета способствуют сенсорному развитию ребёнка. <span style=""line-height: 1.3em;"">Материал - пластик.</span></p>"
81;00620;83;2011-12-27 15:36:06;863.000000;;B KIDS;"Набор Дерево-домик"" (от 18 мес.)""";Игровой набор дает возможность каждый раз придумывать различные сюжеты для игр. Качели двигаются, а забавная обезьянка при вытягивании ползёт вверх. Способствует развитию фокусировки взгляда у ребенка, стимулирует тактильное восприятие.  Материал-пластик;"<p>Игровой набор дает возможность каждый раз придумывать различные <span style=""line-height: 1.3em;"">сюжеты для игр. Качели двигаются, а забавная обезьянка при вытягивании ползёт вверх. Способствует развитию фокусировки взгляда у ребенка, стимулирует тактильное восприятие. </span><span style=""line-height: 1.3em;"">Материал-пластик</span><span style=""line-height: 1.3em;"">.</span></p>"
82;00683;9;2011-12-27 15:36:06;2794.000000;;B KIDS;"Активная развивающая игрушка Большой Автобус"" (от 12 мес)""";Этот яркий автобус не просто каталка, развивающая навыки ходьбы, это увлекательная обучающая музыкальная игрушка, с функцией сортера. Малыш может как катать автобус, так и кататься, сидя или стоя в нём.;"<p>Этот яркий автобус не просто каталка, развивающая <span style=""line-height: 1.3em;"">навыки ходьбы, это увлекательная обучающая музыкальная </span><span style=""line-height: 1.3em;"">игрушка, с функцией сортера. Малыш может как катать автобус, так и кататься, сидя или стоя в нём.</span></p>"
83;00685;416;2011-12-27 15:36:06;310.000000;;B KIDS;Набор формочек-животных для ванны (от 6 м);Разноцветные пластмассовые формочки в виде животных можно собирать в пирамидку, а также использовать для игр с песком и с водой.;<p>Разноцветные пластмассовые формочки в виде животных можно собирать в пирамидку, а также использовать для игр с песком и с водой. Материал - пластик.</p>
84;00701;458;2011-12-27 15:36:06;323.000000;;B KIDS;"Набор в ванну Плот с друзьями"" (от 12 мес)""";Яркие, красочные брызгалки познакомят малыша с различными морскими обитателями и развлекут его во время купания. Собираются пирамидкой.;<p>Яркие, красочные брызгалки познакомят малыша с различными морскими обитателями и развлекут его во время купания. Собираются пирамидкой.<br /> Материал – пластик.</p>
85;00702;884;2011-12-27 15:36:06;202.000000;;B KIDS;"Набор в ванну Ковчег с животными-фигурками""";Пластиковая лодочка, груженая  забавными геометрическими фигурками с мордочками животных.;<p>Пластиковая лодочка, груженая  забавными геометрическими фигурками с мордочками животных. Материал – пластик.</p>
86;00707;166;2011-12-27 15:36:06;769.000000;;B KIDS;"Набор Музыкальный квартет жирафа (от 12 мес.)""";Забавная музыкальная игрушка в виде жирафа. При нажатии на кнопки, играет различная музыка.;<p>Забавная музыкальная игрушка в виде жирафа. При нажатии на кнопки, играет различная музыка. Батарейки в комплекте. Материал - пластик</p>
87;00712;198;2011-12-27 15:36:06;0.000000;;B KIDS;Игрушка в ванну на присоске Осминог-брызгалка;Краткое описание;<p>Полное описание</p>
88;00725;78;2011-12-27 15:36:06;647.000000;;B KIDS;Занятная музыкальная пирамидка (от 12 мес);Представляет собой неваляшку, пирамидку и музыкальную игрушку! Если снять гусеничке голову, она превратится в пирамидку. Материал-пластик.;<p>Представляет собой неваляшку, пирамидку и музыкальную игрушку! Если снять гусеничке голову, она превратится в пирамидку. Материал-пластик.</p>  <p> </p>
89;00803;1;2011-12-27 15:36:06;188.000000;;B KIDS;Развивающая игрушка Морские обитатели;Разноцветные, яркие прорезыватели, выполненные в виде морских обитателей, помогут при появлении первых зубов у малыша.;<p>Разноцветные, яркие прорезыватели, выполненные в виде морских обитателей, помогут при появлении первых зубов у малыша. <br />Материал - пластик. Мыть влажной губкой.</p>
90;00833;492;2011-12-27 15:36:06;242.000000;;B KIDS;"Развивающая игрушка на прис.Бодрая обезьянка. Возраст ребенка от 6 мес.""";Бодрая обезьянка не позволит малышу заскучать. Присоской надежно крепится к гладкой поверхности.;<p>Бодрая обезьянка не позволит малышу заскучать. Присоской надежно крепится к гладкой поверхности. Яркие и разнообразные цвета способствуют сенсорному развитию малыша.<br />Материал – пластик. Мыть влажной губкой.</p>
91;00855;363;2011-12-27 15:36:06;0.000000;;B KIDS;"Развивающая игрушка Улитка (от 12 мес)""";Увлекательная игрушка понравится любому малышу. Элементы игрушки способствуют развитию моторики и сенсорики.;<p>Увлекательная игрушка понравится любому малышу. Элементы игрушки способствуют развитию моторики и сенсорики. При повороте головы раздаётся треск. При нажатии на цветок, игрушка пищит. По спиралям катаются забавные фигурки. Материал - пластик.</p>
92;00977;624;2011-12-27 15:36:06;0.000000;;B KIDS;Игрушка в ванну Удивительная труба (от 12 мес);В трубу заливается вода, которая разбрызгивается из нижней части, внутри у душа винт, через который бежит вода, приводя  его в движение. Воронки снимаются и могут вставляться друг в друга, образуя шар. Материал - пластик.;<p>В трубу заливается вода, которая разбрызгивается из нижней части, внутри у душа винт, через который бежит вода, приводя  его в движение. Воронки снимаются и могут вставляться друг в друга, образуя шар. Материал - пластик.</p>
93;01036;0;2011-12-27 15:36:06;121.000000;;B KIDS;"Набор домашних животных Собака (от 18 мес.)""";Игрушка познакомит малыша с домашним животным. В набор входят игрушки в виде собачки  и домик для нее.;<p>Игрушка познакомит малыша с домашним животным. В набор входят игрушки в виде собачки  и домик для нее. Яркие цвета этого набора дают множество возможностей для обучения и новых открытий. Материал - пластик.</p>
94;01037;-2;2011-12-27 15:36:06;121.000000;;B KIDS;"Набор домашних животных Хомяк (от 18 мес.)""";Игрушка познакомит малыша с домашним животным. В набор входят игрушки в виде хомячка  и домик для него.;<p>Игрушка познакомит малыша с домашним животным. В набор входят игрушки в виде хомячка  и домик для него. Яркие цвета этого набора дают множество возможностей для обучения и новых открытий. Материал - пластик.</p>
95;01038;0;2011-12-27 15:36:06;121.000000;;B KIDS;"Набор домашних животных Птичка (от 18 мес.)""";Игрушка познакомит малыша  с домашним животным. В набор входят игрушки в виде птички и домик для нее.;<p>Игрушка познакомит малыша  с домашним животным. В набор входят игрушки в виде птички и домик для нее. Яркие цвета этого набора дают множество возможностей для обучения и новых открытий. Материал - пластик.</p>
96;01039;1;2011-12-27 15:36:06;120.000000;;B KIDS;"Набор домашних животных Кошка (от 18 мес.)""";Игрушка познакомит малыша с домашним животным. В набор входят игрушка в виде кошки  и домик для нее.;<p>Игрушка познакомит малыша с домашним животным. В набор входят игрушка в виде кошки  и домик для нее. Яркие цвета этого набора дают множество возможностей для обучения и новых открытий. Материал - пластик.</p>
97;01061;573;2011-12-27 15:36:06;269.000000;;B KIDS;"Игрушка в ванну Большая утка-брызгалка (от 12 мес.)""";Яркая, красочная брызгалка развеселит вашего малыша. Имитация водного пистолета. При нажатии на кнопочку через клювик летят брызги воды.;<p>Яркая, красочная брызгалка развеселит вашего малыша. Имитация водного пистолета. При нажатии на кнопочку через клювик летят брызги воды. Материал - пластик.</p>
98;01062;582;2011-12-27 15:36:06;391.000000;;B KIDS;"Игрушка в ванну Кит (от 12 мес.)""";Под действием воды, вытекающей из кита, приводятся в движение вращающиеся разноцветные колёсики. В комплекте формочка черепашка с отвертстием, для заполнения водой. Материал - пластик.;<p>Под действием воды, вытекающей из кита, приводятся в движение вращающиеся разноцветные колёсики. В комплекте формочка черепашка с отвертстием, для заполнения водой. Материал - пластик.</p>
99;01066;704;2011-12-27 15:36:06;877.000000;;B KIDS;"Набор Домик для домашних животных (от 18 мес.)""";Красочный набор состоит из 4-х домашних питомцев (щенок, котенок, зайчик, попугайчик), домика с клетками для них, корзинки для котенка, миски для щенка, жердочки для попугайчика и стульчика для зайчика. Материал - пластик.;<p>Красочный набор состоит из 4-х домашних питомцев (щенок, котенок, зайчик, попугайчик), домика с клетками для них, корзинки для котенка, миски для щенка, жердочки для попугайчика и стульчика для зайчика. Материал - пластик.</p>
100;01096;18;2011-12-27 15:36:06;485.000000;;B KIDS;"Набор Салон для домашних животных (от 18 мес.)""";В набор входят различные игровые элементы по уходу за питомцами  (ванная комната с ванной, зеркало, весы, душ), две зверюшки которые могут крутить головой. Яркие цвета и дружелюбные герои заинтересуют любого малыша.  Материал - пластик;"<p>В набор входят различные игровые элементы по уходу за питомцами  (ванная комната с ванной, зеркало, весы, душ), две зверюшки <span style=""line-height: 1.3em;"">которые могут крутить головой. Яркие цвета и дружелюбные герои заинтересуют любого малыша. </span><span style=""line-height: 1.3em;"">Материал - пластик</span></p>"
101;01116;499;2011-12-27 15:36:06;647.000000;;B KIDS;"Световая музыкальная подвеска на коляску Черепаха (от 0 мес.)""";Игрушка с музыкой и светом. Легко крепится к любой кроватке. При нажатии на голову звучит несколько мелодий. Можно регулировать громкость звука. Материал-пластик.;<p>Игрушка с музыкой и светом. Легко крепится к любой кроватке. При нажатии на голову звучит несколько мелодий. Можно регулировать громкость звука. Материал-пластик.</p>  <p> </p>
102;01136;266;2011-12-27 15:36:06;944.000000;;B KIDS;"Активная музыкальная развивающая игрушка Гусеница (от 9 мес.)""";Яркая музыкальная Гусеница  надолго займет  малыша. При нажатии на разноцветные кнопки, загорается свет и играет различная музыка.;<p>Яркая музыкальная Гусеница  надолго займет  малыша. При нажатии на разноцветные кнопки, загорается свет и играет различная музыка. В комплект входят игрушки в виде улитки и мотылька. Которые можно использовать, как погремушки. Батарейки в комплекте. Материал - пластик.</p>
103;01156;1;2011-12-27 15:36:06;404.000000;;B KIDS;Разв.игрушка Удивительная лошадка (от 6 мес);Игрушка вызовет массу положительных эмоций у детей. Удобно крепится на ножку с помощью ремня, а на поверхность - с помощью присоски.;<p>Игрушка вызовет массу положительных эмоций у детей. Удобно крепится на ножку с помощью ремня, а на поверхность - с помощью присоски. Лошадка крутится в разные стороны, развивая мелкую моторику. При дергании за уздечку голова лошадки двигается вперед и назад, имитируя конные скачки.<br />Материал - пластик.</p>
104;01164;63;2011-12-27 15:36:06;161.000000;;B KIDS;"Игрушка-цепочка Животные (от 3 мес.)""";Прорезыватель состоит из различного по форме пластика  в виде животных. Снимает дискомфорт при прорезывании зубов.;<p>Прорезыватель  состоит из различного по форме пластика  в виде животных. Снимает дискомфорт при прорезывании зубов. Материал - пластик. Мыть влажной губкой, в том числе перед первым использованием.</p>
105;01262;540;2011-12-27 15:36:06;782.000000;;B KIDS;Активная музыкальная игрушка Бабочка-книжка (от 12 мес);Многофункциональная игрушка с развивающими элементами для развития мелкой моторики, тактильных ощущений, слухового и звукового восприятия. Перелистывание страниц и другие манипуляции сопровождаются звуковыми эффектами, лицо бабочки светится при этом. Материал-пластик.;<p>Многофункциональная игрушка с развивающими элементами для развития мелкой моторики, тактильных ощущений, слухового и звукового восприятия. Перелистывание страниц и другие манипуляции сопровождаются звуковыми эффектами, лицо бабочки светится при этом. Материал-пластик.</p>
106;02407;205;2011-12-27 15:36:06;0.000000;;B KIDS;"Развивающая игрушка Улитка (от 3 мес.)""";"""Улитка"" удобна для держания в детской ручке. Крутящиеся разноцветные барабаны с бусинками надолго займут внимание малыша.";"<p>""Улитка"" удобна для держания в детской ручке. Крутящиеся разноцветные барабаны с бусинками надолго займут внимание малыша. Материал - пластик.</p>"
107;03053;492;2011-12-27 15:36:06;0.000000;;B KIDS;"Музыкальный светящийся Удивительный гриб (от 9 мес)""";Многофункциональная музыкальная игрушка в виде гриба надолго увлечет малыша. При нажатии на разноцветные клавиши раздается различная музыка и разливается свет.;<p>Многофункциональная музыкальная игрушка в виде гриба надолго увлечет малыша. При нажатии на разноцветные клавиши раздается различная музыка и разливается свет. Различные вращающиеся элементы способствуют развитию моторики, сенсорики и тактильных ощущений. Удобная ручка поможет малышу долго находиться в вертикальном положении. При попадании шариков в лунку на шляпке звуковой эффект и шарик скатыватся вниз по желобу внутри гриба. Материал - пластик.</p>
108;03066;226;2011-12-27 15:36:06;674.000000;;B KIDS;"Активные развивающие Кубики-пирамидка (от 9 мес.)""";Кубики с изображением мордочек животных и различными развивающими элементами такими как окошки, за которыми спрятались животные, кнопка-пищалка, зеркальце перекатывающийся диск. Могут складываться или собираются в пирамидку. Развитие конструктивных способностей ребенка, внимания, воображения и мелкой моторики. В комплекте шар, который нужно бросать в отверстия пирамидки из кубиков. Материал-пластик.;<p>Кубики с изображением мордочек животных и различными развивающими элементами такими как окошки, за которыми спрятались животные, кнопка-пищалка, зеркальце перекатывающийся диск. Могут складываться или собираются в пирамидку. Развитие конструктивных способностей ребенка, внимания, воображения и мелкой моторики. В комплекте шар, который нужно бросать в отверстия пирамидки из кубиков. Материал-пластик.</p>
109;03067;545;2011-12-27 15:36:06;418.000000;;B KIDS;"Разв. игр. Слоненок фотоаппарат(от 12 мес.)""";При нажатии на кнопку загораются лампочки, создавая эффект вспышки. Дополнительное кольцо-прищепка позволяет надеть игрушку на ручку ребенка, прикрепить на кроватку, коляску.;<p>При нажатии на кнопку загораются лампочки, создавая эффект вспышки. Дополнительное кольцо-прищепка позволяет надеть игрушку на ручку ребенка, прикрепить на кроватку, коляску. Забавная игрушка развелчет малыша.Прорезователь снимает дискомфорт при прорезывании зубов. Рифленая поверхность разовьет тактильные ощущения. <br />Материал - пластик.</p>
110;03068;1;2011-12-27 15:36:06;350.000000;;B KIDS;Развивающая игрушка Черепаха мобильный телефон (от 12 мес.);Раскладывающаяся игрушка в форме черепахи. Внутри находится зеркальце. При нажатии на кнопки издаются различные мелодии, и загорается лампочка;<p>Раскладывающаяся игрушка в форме черепахи. Внутри находится зеркальце. При нажатии на кнопки издаются различные мелодии, и загорается лампочка. Вращающиеся разноцветные колесики на боковой поверхности развлекут малыша. Дополнительное кольцо-прищепка позволяет надеть игрушку на ручку ребенка, прикрепить на кроватку, коляску.<br />Материал - пластик.</p>
111;03087;862;2011-12-27 15:36:06;256.000000;;B KIDS;"Развивающая игрушка Веселый жираф (от 6 мес.)""";Жираф вызовет массу положительных эмоций. По форме игрушка очень удобна для держания детскими ручками.;<p>Жираф вызовет массу положительных эмоций. По форме игрушка очень удобна для держания детскими ручками. При тряске игрушка издает смешные звуки, развивая сенсорику и воображение.<br />Материал - пластик.</p>
112;03093;1;2011-12-27 15:36:06;404.000000;;B KIDS;Сортирующие формочки (12 шт.) (от 6 мес.);Формочки изготовлены в виде мордочек различных зверюшек. Можно использовать для игр с песком и с водой.;<p>Формочки изготовлены в виде мордочек различных зверюшек. Можно использовать для игр с песком и с водой. В комплекте сортирующее ведро.<br />Материал - пластик.</p>
113;03104;77;2011-12-27 15:36:06;985.000000;;B KIDS;"Музыкальная светящаяся Черепаха (от 12 мес)""";Яркая разноцветная музыкальная светящаяся черепаха отличается замысловатыми функциональными свойствами. Спина-барабан с подсветкой срабатывает при ударах. Лапки-кнопки с различным звуковым сопровождением, съёмные элементы, голова-погремушка и хвостик-дудочка, маленькая черепашка-кастаньетка.                      Материал - пластик.;<p>Яркая разноцветная музыкальная светящаяся черепаха отличается замысловатыми функциональными свойствами. Спина-барабан с подсведкой срабатывает при ударах. Лапки-кнопки с различным звуковым сопровождением, съёмные элементы, голова-погремушка и хвостик-дудочка, маленькая черепашка-кастаньетка. Материал - пластик.</p>
114;03105;182;2011-12-27 15:36:06;0.000000;;B KIDS;"Игровой музыкальный домик Ферма (от 12 мес.)""";Яркие цвета и дружелюбные герои этого набора дают множество возможностей для обучения и новых открытий.;<p>Яркие цвета и дружелюбные герои этого набора дают множество возможностей для обучения и новых открытий. Игрушка познакомит малыша с различными домашними животными. Способствует развитию фокусировки взгляда малыша, стимулирует тактильные и слуховые восприятия. Материал - пластик.</p>
115;03183;415;2011-12-27 15:36:06;229.000000;;B KIDS;"Игрушка в ванну заводная Кит (от 12 мес)""";Заводной кит превратит купание в приятную игру. Яркая игрушка отличается замечательным детским дизайном и способствует многофункциональному развитию ребенка. При заводе механизма, вибрирует в воде. Материал - пластик.;"<p>Заводной кит превратит купание в приятную игру. Яркая игрушка отличается замечательным детским дизайном и способствует <span style=""line-height: 1.3em;"">многофункциональному развитию ребенка. При заводе механизма, вибрирует в воде. Материал - пластик.</span></p>  <p> </p>"
116;03184;166;2011-12-27 15:36:06;229.000000;;B KIDS;"Игрушка в ванну заводная лягушка (от 12 мес)""";Лягушка умеет плавать сама, для этого ее нужно только завести. Понравится любому малышу, ведь играть с ней во время купания одно удовольствие. При заводе механизма, вибрирует в воде. Материал - пластик.;"<p>Лягушка умеет плавать сама, для этого ее нужно только завести. Понравится любому малышу, ведь играть с ней во время купания одно удовольствие. При заводе механизма, вибрирует в воде. <span style=""line-height: 1.3em;"">Материал - пластик.</span></p>"
117;03269;29;2011-12-27 15:36:06;161.000000;;B KIDS;"Игрушка-твистер Животные (от 3 мес.)""";Веселая игрушка помогает развивать ловкость рук , моторику, вовлекая ребенка в познавательный процесс.;<p>Веселая игрушка помогает развивать ловкость рук , моторику, вовлекая ребенка в познавательный процесс.  При вращении твистера  получаются забавные животные. Использовать под наблюдением взрослых. Материал - пластик.</p>
118;03271;455;2011-12-27 15:36:06;850.000000;;B KIDS;"Машинка музыкальная с пультом Полиция (от 3 мес)""";Яркая игрушка в виде полицейской машины на пульте дистанционного управления. При нажатии на соответствующие кнопки на пульте двигается вперёд, издавая характерный звук полицейской сирены, сирена при этом так же светится. Или едет назад и издаёт звук тормозяших шин. И конечно любимая детская кнопка - звуковой сигнал. Материал - пластик.;<p>Яркая игрушка в виде полицейской машины на пульте дистанционного управления. При нажатии на соответствующие кнопки на пульте двигается вперёд, издавая характерный звук полицейской сирены, сирена при этом так же светится. Или едет назад и издаёт звук тормозяших шин. И конечно любимая детская кнопка - звуковой сигнал. Материал - пластик.</p>
119;03297;657;2011-12-27 15:36:06;2105.000000;;B KIDS;"Игрушка Музыкальная дуга (от 12 мес.)""";Игрушка развлечет ребенка в положении лежа, помогает поддержать ребенка во время сидения и ползания, способствует развивитию  мускулатуры, координации, моторики, и визуальных и  слуховых ощущения.;<p>Игрушка развлечет ребенка в положении лежа, помогает поддержать ребенка во время сидения и ползания, способствует развивитию  мускулатуры, координации, моторики, и визуальных и  слуховых ощущения. Удобна для переноски.</p>
